distance,A3.1-A4.1,A3.7-A4.7,A5.1,A5.2,A5.4,y
0.06392735469094672,17,1,1,0,0,A3.1-A4.1
0.0904926400250022,31,2,2,1,1,A3.1-A4.1
0.05119720342267389,13,2,1,0,0,A3.1-A4.1
0.0571398747031699,30,4,5,0,1,A3.1-A4.1
0.07731213813093586,17,2,4,0,1,A3.1-A4.1
0.08386759145005125,25,5,1,1,0,A3.1-A4.1
0.08886497604932467,19,5,1,0,2,A3.1-A4.1
0.05489547067841863,13,2,1,0,0,A3.1-A4.1
0.05177159764872073,31,2,2,1,1,A3.1-A4.1
0.039839098376946644,8,3,0,0,2,A3.1-A4.1
0.03396338429412579,8,3,0,0,2,A3.1-A4.1
0.049207608325841846,13,2,1,0,0,A3.1-A4.1
0.08495379048801054,30,4,5,0,1,A3.1-A4.1
0.08189130661835009,18,4,1,1,0,A3.1-A4.1
0.018894727334760254,6,0,1,0,0,A3.1-A4.1
0.018894727334760254,6,0,1,0,0,A3.1-A4.1
0.00186408797511272,0,1,0,0,0,A3.7-A4.7
0.040636524820736236,14,1,1,0,0,A3.1-A4.1
0.0408959752130833,14,1,1,0,0,A3.1-A4.1
0.003209261337359685,2,0,0,0,0,A3.1-A4.1
0.022804407365436912,7,0,0,0,0,A3.1-A4.1
0.14539332082216377,40,3,1,1,0,A3.1-A4.1
0.11697021513692973,50,3,1,1,0,A3.1-A4.1
0.09305885864903406,50,3,1,1,0,A3.1-A4.1
0.01003907368943995,3,0,0,0,0,A3.1-A4.1
0.06127086123325927,13,3,2,0,0,A3.1-A4.1
0.016043208007240576,2,0,2,0,1,A3.1-A4.1
0.05203151944419018,25,6,2,0,0,A3.1-A4.1
0.05203151944419018,25,6,2,0,0,A3.1-A4.1
0.18585802330329942,45,7,6,0,1,A3.1-A4.1
0.14738371996874822,39,3,4,0,0,A3.1-A4.1
0.07546042863108349,19,3,3,0,0,A3.1-A4.1
0.019436591192611916,6,0,0,0,0,A3.1-A4.1
0.019436591192611916,6,0,0,0,0,A3.1-A4.1
0.038593256627652006,15,0,0,0,0,A3.1-A4.1
0.039317036641129254,15,0,0,0,0,A3.1-A4.1
0.00557312383655821,2,0,0,0,0,A3.1-A4.1
0.03247560609538454,10,0,0,0,0,A3.1-A4.1
0.0024265335240618306,10,0,0,0,0,A3.1-A4.1
0.014230977655976371,10,0,0,0,0,A3.1-A4.1
0.008438018242733724,3,0,0,0,0,A3.1-A4.1
0.07820241385971154,23,1,3,0,0,A3.1-A4.1
0.06639460198705664,20,0,1,0,0,A3.1-A4.1
0.12439334990392624,34,7,2,0,2,A3.1-A4.1
0.07729743370112373,35,1,5,0,0,A3.1-A4.1
0.03673156429576631,12,0,21,0,0,A5.1
0.11168497065076223,23,12,35,1,1,A5.1
0.04493617311784649,12,0,2,0,0,A3.1-A4.1
0.12130519149562091,50,10,12,1,2,A3.1-A4.1
0.18244837312488615,50,10,12,1,2,A3.1-A4.1
0.04469804280483077,12,0,21,0,0,A5.1
0.1237860493921944,14,6,19,1,0,A5.1
0.16696411598831956,54,3,3,0,1,A3.1-A4.1
0.09018234829044106,22,3,3,0,0,A3.1-A4.1
0.13114931498029242,47,3,3,0,1,A3.1-A4.1
0.006747121942617228,2,1,1,0,0,A3.1-A4.1
0.036815320622510785,4,0,8,0,0,A5.1
0.010307595333616658,4,0,0,0,0,A3.1-A4.1
0.04617965195201851,19,0,0,0,0,A3.1-A4.1
0.046497944289740405,15,0,0,0,0,A3.1-A4.1
0.021060899749842956,12,0,0,0,0,A3.1-A4.1
0.008151931608693283,3,0,0,0,0,A3.1-A4.1
0.0033096358472236797,4,0,8,0,0,A5.1
0.0033096358472236797,4,0,8,0,0,A5.1
0.04861306843019792,15,0,0,0,0,A3.1-A4.1
0.0026344164724001282,1,0,0,0,0,A3.1-A4.1
0.0020793368016082054,2,0,0,0,0,A3.1-A4.1
0.003721675799676541,2,0,0,0,0,A3.1-A4.1
0.006591311199453488,2,0,0,0,0,A3.1-A4.1
0.051035180283339684,29,0,0,0,0,A3.1-A4.1
0.051035180283339684,29,0,0,0,0,A3.1-A4.1
0.0053738734116021755,2,0,0,0,0,A3.1-A4.1
0.021775135037269154,7,0,0,0,0,A3.1-A4.1
0.06304612017826522,20,2,2,0,1,A3.1-A4.1
0.09341610082041527,30,2,3,1,1,A3.1-A4.1
